country,full_name,club,position,matches,goals
Нидерланды,Angela Martin,Аякс,нападающий,5,20
Англия,Mark Johnson,Ливерпуль,нападающий,71,27
Португалия,Peggy Barnes,Порту,защитник,128,4
Франция,Julie Foley,ПСЖ,полузащитник,120,27
Англия,Joshua Lester,Ливерпуль,вратарь,105,-41
Аргентина,Madison Pena,Ривер Плейт,защитник,31,13
Нидерланды,Jerry Robles,ПСВ,нападающий,35,41
Испания,Travis Rhodes,Реал Мадрид,полузащитник,26,9
Бразилия,Jorge Wilson,Сантос,защитник,22,1
Нидерланды,Mark Brown,ПСВ,нападающий,96,16
Бразилия,James Calderon,Палмейрас,нападающий,135,23
Германия,Michelle Henderson,Бавария,защитник,43,2
Бразилия,Stephanie Young,Палмейрас,вратарь,94,-23
Испания,Mr. John Hudson MD,Реал Мадрид,полузащитник,131,29
Англия,Steve Clark,Ливерпуль,защитник,36,5
Бразилия,Brianna Vazquez,Палмейрас,нападающий,116,47
Бразилия,Cindy Foster,Палмейрас,полузащитник,26,18
Бразилия,Garrett Ford,Фламенго,защитник,76,11
Россия,Jeremy Brooks,Зенит,защитник,81,15
Италия,Joseph Dawson,Ювентус,защитник,111,12
Испания,Robert Bush,Барселона,нападающий,37,23
Россия,Whitney Potter,Зенит,полузащитник,62,10
Англия,Crystal Myers,Ливерпуль,вратарь,23,-4
Аргентина,Alexis Young,Бока Хуниорс,полузащитник,59,29
Бразилия,Jose Johnson,Фламенго,защитник,72,7
Россия,Edwin Matthews,Краснодар,полузащитник,14,25
Португалия,Robert Rogers,Спортинг,полузащитник,2,11
Россия,Jeremy Martinez,Локомотив,нападающий,39,33
Португалия,Jeffrey Thompson,Спортинг,защитник,148,14
Франция,Terry Preston,ПСЖ,полузащитник,123,6
Германия,Amanda Everett,Боруссия Дортмунд,нападающий,13,49
Россия,Samantha Murphy,Краснодар,вратарь,107,-27
Нидерланды,Jim Armstrong,Фейеноорд,защитник,66,6
Испания,Thomas Walker,Атлетико Мадрид,полузащитник,48,12
Аргентина,Alex Chase,Ривер Плейт,полузащитник,19,16
Аргентина,Ashley Galvan,Ривер Плейт,полузащитник,88,30
Англия,Melanie Walters,Ливерпуль,нападающий,52,19
Россия,Sierra Rogers,Локомотив,полузащитник,110,10
Бразилия,Jose Adkins,Палмейрас,полузащитник,97,20
Англия,James Russo,Челси,нападающий,8,47
Бразилия,Steven Perez,Сантос,полузащитник,12,25
Англия,Patty Barnes,Челси,полузащитник,67,7
Нидерланды,Donald Berry,Аякс,нападающий,12,18
Бразилия,Tony Day,Сантос,нападающий,95,33
Испания,Erik Brennan,Реал Мадрид,полузащитник,116,27
Россия,Mr. Jacob Moore,Спартак,защитник,136,2
Англия,Linda Clark,Челси,защитник,137,16
Нидерланды,Krystal Cisneros DDS,Фейеноорд,защитник,18,13
Португалия,Kristina Young,Спортинг,защитник,87,9
Англия,Alyssa Porter,Манчестер Юнайтед,защитник,129,6
Португалия,Aaron Chavez,Порту,защитник,94,13
Германия,James Stone,Бавария,полузащитник,38,22
Франция,Matthew Munoz MD,Лион,защитник,105,2
Аргентина,Michele Ayala,Бока Хуниорс,вратарь,133,-42
Россия,Renee Barton,Краснодар,полузащитник,111,14
Испания,Kevin Schmidt,Атлетико Мадрид,полузащитник,63,6
Испания,Corey Bishop,Атлетико Мадрид,полузащитник,78,7
Португалия,Nathan Allen,Бенфика,нападающий,146,29
Англия,Desiree Crawford,Челси,нападающий,144,34
Франция,Donald Shelton,Лион,полузащитник,79,6
Франция,Brittney Patel,Лион,защитник,134,9
Россия,Emily Wiggins,Краснодар,полузащитник,77,24
Нидерланды,Michelle White,ПСВ,вратарь,77,-49
Россия,Jay Reese,Локомотив,нападающий,88,29
Португалия,Megan Green,Спортинг,полузащитник,95,26
Испания,Christopher Hendrix,Барселона,полузащитник,43,29
Аргентина,Monica Mcneil,Бока Хуниорс,нападающий,83,18
Португалия,Carrie Anderson,Порту,полузащитник,38,20
Англия,Nicholas Anderson,Челси,нападающий,7,13
Россия,James Clay,Спартак,вратарь,22,-27
Россия,Jessica Cook,Спартак,защитник,54,8
